
  Provided flags:
    --config-name = ./runtime-env.js
    --env-file = ./.env

  Your environment variables will be available on 'window.__RUNTIME_CONFIG__'
  
./runtime-env.js does not exist. Creating one...
Successfully generated your runtime-env config!
  Result: window.__RUNTIME_CONFIG__ = {"REACT_APP_AUTH_ENABLED":"true","REACT_APP_AUTH_TYPE":"oidc","REACT_APP_TIMEZONE":" ","REACT_APP_SCRIPTING_DISABLED":"false","REACT_APP_TARGETED_PODS_UPDATE_DISABLED":"false","REACT_APP_PRESET_FILTERS_CHANGING_ENABLED":"true","REACT_APP_BPF_OVERRIDE_DISABLED":"false","REACT_APP_RECORDING_DISABLED":"false","REACT_APP_STOP_TRAFFIC_CAPTURING_DISABLED":"false","REACT_APP_CLOUD_LICENSE_ENABLED":"true","REACT_APP_SUPPORT_CHAT_ENABLED":"true","REACT_APP_DISSECTORS_UPDATING_ENABLED":"true","REACT_APP_SENTRY_ENABLED":"false","REACT_APP_SENTRY_ENVIRONMENT":"production"};

  Thank you for using runtime-env-cra-fallback!
  
2024/11/11 16:15:08 [notice] 1#1: using the "epoll" event method
2024/11/11 16:15:08 [notice] 1#1: nginx/1.25.3
2024/11/11 16:15:08 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2024/11/11 16:15:08 [notice] 1#1: OS: Linux 5.15.0-1071-azure
2024/11/11 16:15:08 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/11/11 16:15:08 [notice] 1#1: start worker processes
2024/11/11 16:15:08 [notice] 1#1: start worker process 18
2024/11/11 16:15:08 [notice] 1#1: start worker process 19
2024/11/11 16:15:08 [notice] 1#1: start worker process 20
2024/11/11 16:15:08 [notice] 1#1: start worker process 21
10.224.0.144 - - [11/Nov/2024:16:15:14 +0000] "GET / HTTP/1.1" 200 571 "-" "Go-http-client/1.1"
10.224.0.144 - - [11/Nov/2024:16:15:15 +0000] "GET / HTTP/1.1" 200 571 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:15 +0000] "GET /runtime-env.js HTTP/1.1" 200 266 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:15 +0000] "GET /static/css/main.8bcb0ede.css HTTP/1.1" 200 22176 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:15 +0000] "GET /static/js/main.8756e20f.js HTTP/1.1" 200 1328559 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /static/media/source-sans-pro-latin-400-normal.1402accbefdec6a25762.woff2 HTTP/1.1" 200 14892 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /static/media/Kubeshark-logo.c742b6210d1c34b8a33ba588c7770045.svg HTTP/1.1" 200 12376 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /static/media/downImg.1a3c33a5f6047fb441a18de1c5197ef0.svg HTTP/1.1" 200 247 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /static/media/source-sans-pro-latin-700-normal.2121f4aabac6fbe523ec.woff2 HTTP/1.1" 200 14712 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /static/media/roboto-latin-700-normal.227c93190fe7f82de3f8.woff2 HTTP/1.1" 200 15860 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:17 +0000] "GET /api/settings/status HTTP/1.1" 200 112 "http://127.0.0.1:8899/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
